name,position,team,assists,clean_sheets,goals_scored
Aaron Anselmino,DEF,Chelsea,0.0,0.0,0.0
Aaron Cresswell,DEF,West Ham,0.0,3.0,0.0
Aaron Hickey,DEF,Brentford,0.0,0.0,0.0
Aaron Ramsdale,GK,Arsenal,0.0,0.0,0.0
Aaron Ramsdale,GK,Southampton,0.0,3.0,0.0
Aaron Wan-Bissaka,DEF,West Ham,6.0,6.0,2.0
Abdoulaye Doucouré,MID,Everton,2.0,11.0,3.0
Abdukodir Khusanov,DEF,Man City,0.0,2.0,0.0
Abdul Fatawu,MID,Leicester,2.0,0.0,0.0
Adam Armstrong,FWD,Southampton,3.0,2.0,2.0
Adam Lallana,MID,Southampton,2.0,0.0,0.0
Adam Smith,DEF,Bournemouth,0.0,6.0,0.0
Adam Webster,DEF,Brighton,1.0,4.0,0.0
Adam Wharton,MID,Crystal Palace,2.0,4.0,0.0
Adama Traoré,MID,Fulham,8.0,3.0,2.0
Adrian Mazilu,MID,Brighton,0.0,0.0,0.0
Albert Grønbæk,MID,Southampton,0.0,0.0,0.0
Alejandro Garnacho,MID,Man Utd,4.0,5.0,6.0
Alejo Véliz,FWD,Spurs,0.0,0.0,0.0
Alex Iwobi,MID,Fulham,6.0,6.0,9.0
Alex McCarthy,GK,Southampton,0.0,0.0,0.0
Alex Mighten,MID,Nott'm Forest,0.0,0.0,0.0
Alex Murphy,DEF,Newcastle,0.0,0.0,0.0
Alex Palmer,GK,Ipswich,0.0,0.0,0.0
Alex Paulsen,GK,Bournemouth,0.0,0.0,0.0
Alex Scott,MID,Bournemouth,0.0,3.0,0.0
Alexander Isak,FWD,Newcastle,6.0,12.0,23.0
Alexis Mac Allister,MID,Liverpool,6.0,14.0,5.0
Alfie Devine,MID,Spurs,0.0,0.0,0.0
Alfie Dorrington,DEF,Spurs,0.0,0.0,0.0
Alfie Gilchrist,DEF,Chelsea,0.0,0.0,0.0
Alfie Pond,DEF,Wolves,0.0,0.0,0.0
Alfie Whiteman,GK,Spurs,0.0,0.0,0.0
Ali Al-Hamadi,FWD,Ipswich,0.0,0.0,0.0
Alisson Ramses Becker,GK,Liverpool,0.0,10.0,0.0
Alphonse Areola,GK,West Ham,0.0,4.0,0.0
Altay Bayindir,GK,Man Utd,0.0,1.0,0.0
Amad Diallo,MID,Man Utd,8.0,7.0,8.0
Amadou Onana,MID,Aston Villa,0.0,6.0,3.0
Amara Nallo,DEF,Liverpool,0.0,0.0,0.0
Amario Cozier-Duberry,MID,Brighton,0.0,0.0,0.0
Andoni Iraola,AM,Bournemouth,0.0,0.0,0.0
Andreas Hoelgebaum Pereira,MID,Fulham,6.0,5.0,2.0
Andrew Moran,MID,Brighton,0.0,0.0,0.0
Andrew Omobamidele,DEF,Nott'm Forest,0.0,0.0,0.0
Andrew Robertson,DEF,Liverpool,1.0,10.0,0.0
Andrey Nascimento dos Santos,MID,Chelsea,0.0,0.0,0.0
André Onana,GK,Man Utd,0.0,9.0,0.0
André Trindade da Costa Neto,MID,Wolves,0.0,7.0,0.0
Andrés García,DEF,Aston Villa,0.0,0.0,0.0
Andy Irving,MID,West Ham,0.0,0.0,0.0
Ange Postecoglou,AM,Spurs,0.0,0.0,0.0
Anthony Elanga,MID,Nott'm Forest,11.0,12.0,6.0
Anthony Gordon,MID,Newcastle,6.0,10.0,6.0
